@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
138,7,14,23,0,4,?
37,0,4,0,0,0,?
31,0,0,0,0,0,?
39,1,1,1,0,0,?
125,14,5,56,0,0,?
71,5,1,19,0,0,?
35,0,1,0,0,0,?
52,1,4,0,0,0,?
53,1,4,0,0,0,?
52,1,4,0,0,0,?
38,0,3,0,0,0,?
78,3,4,3,0,0,?
35,0,1,0,0,0,?
53,1,4,0,0,0,?
52,1,4,0,0,0,?
52,1,4,0,0,0,?
34,0,1,0,0,0,?
35,0,1,0,0,0,?
39,1,1,1,0,0,?
61,4,1,25,0,0,?
64,1,2,9,0,0,?
56,1,1,5,0,0,?
41,1,1,2,0,0,?
43,1,2,0,0,0,?
31,0,1,0,0,0,?
56,4,2,3,0,1,?
39,1,1,1,0,0,?
70,3,3,12,0,0,?
62,2,5,12,0,0,?
41,1,1,2,0,0,?
70,3,3,12,0,0,?
117,8,1,14,0,1,?
46,1,3,0,0,0,?
77,3,3,7,0,1,?
65,3,2,10,0,1,?
30,0,1,0,0,0,?
87,5,3,11,0,0,?
38,1,1,1,0,0,?
48,1,1,4,0,0,?
44,2,1,2,0,0,?
50,5,1,2,0,0,?
169,6,6,16,0,0,?
195,19,9,39,2,3,?
85,5,4,16,0,2,?
175,7,10,13,0,3,?
45,0,1,0,0,0,?
63,0,2,0,0,0,?
186,9,13,18,0,0,?
264,18,15,58,0,5,?
116,6,6,15,0,1,?
60,0,2,2,0,0,?
69,1,3,6,0,0,?
97,5,2,17,0,0,?
106,6,1,32,0,0,?
88,4,4,10,0,0,?
221,6,17,20,0,2,?
88,4,4,10,0,0,?
38,1,1,1,0,0,?
117,10,4,36,0,0,?
88,6,3,21,0,0,?
57,2,4,11,0,0,?
89,6,3,21,0,0,?
112,9,1,27,0,0,?
161,13,5,41,0,0,?
145,7,13,8,0,13,?
39,0,1,0,0,0,?
82,3,4,4,0,0,?
132,12,8,35,0,0,?
75,4,2,7,0,0,?
38,1,1,1,0,0,?
128,12,8,35,0,0,?
65,3,1,3,0,0,?
45,1,2,3,0,0,?
48,1,2,3,0,0,?
39,1,1,1,0,0,?
88,5,6,17,0,0,?
105,5,4,14,0,0,?
46,1,1,0,0,0,?
44,0,1,0,0,0,?
46,1,1,0,0,0,?
43,1,1,0,0,0,?
63,2,2,3,0,1,?
111,7,4,10,0,1,?
90,1,3,10,0,0,?
111,7,3,14,0,0,?
50,1,1,6,0,0,?
81,6,2,8,0,1,?
63,1,3,0,0,0,?
89,4,4,5,0,1,?
120,5,4,9,1,6,?
34,0,2,0,0,0,?
77,2,5,2,0,1,?
38,1,1,1,0,0,?
54,3,1,11,2,0,?
58,3,1,13,2,0,?
87,6,2,15,0,1,?
65,4,5,0,0,2,?
68,5,6,0,0,1,?
41,0,5,0,0,0,?
68,2,5,4,0,1,?
39,1,1,1,0,0,?
105,8,8,36,0,0,?
70,4,4,16,0,0,?
93,10,4,33,0,0,?
101,5,7,11,0,0,?
51,3,1,8,0,0,?
61,5,1,9,0,0,?
141,8,13,12,0,6,?
124,7,11,8,0,4,?
83,4,3,22,0,0,?
166,11,10,1,0,1,?
140,9,15,14,0,7,?
72,2,3,9,0,0,?
101,9,5,26,0,0,?
49,2,1,7,0,0,?
210,35,3,93,0,0,?
70,1,4,0,0,0,?
45,0,5,0,0,0,?
154,16,6,42,0,5,?
82,2,3,13,0,1,?
48,0,5,0,0,0,?
82,6,6,8,0,0,?
91,3,9,0,0,0,?
36,0,1,0,0,0,?
57,4,1,9,0,1,?
115,4,12,2,0,0,?
36,0,1,0,0,0,?
63,4,1,14,0,1,?
100,3,10,3,0,0,?
36,0,1,0,0,0,?
64,4,1,13,0,1,?
47,1,2,2,0,0,?
146,16,9,42,1,0,?
159,29,5,84,0,0,?
56,3,2,11,0,0,?
56,3,2,11,0,0,?
56,3,2,11,0,0,?
56,1,1,8,0,0,?
56,1,1,5,0,2,?
48,0,3,0,0,0,?
75,3,3,9,0,1,?
67,3,4,6,0,0,?
63,3,2,3,0,2,?
39,1,1,1,0,0,?
68,2,2,12,0,0,?
109,11,1,23,0,0,?
39,0,1,3,0,0,?
59,1,2,0,0,0,?
48,1,2,0,0,0,?
76,2,2,0,0,3,?
51,1,2,0,0,2,?
39,1,1,1,0,0,?
