@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
40,0,1,0,0,0,?
157,6,13,30,0,1,?
75,2,3,5,0,2,?
406,37,31,83,0,7,?
126,10,8,33,0,1,?
20,0,0,0,0,0,?
75,2,2,8,0,0,?
364,32,28,73,0,5,?
132,10,9,33,0,1,?
20,0,0,0,0,0,?
43,1,1,2,0,0,?
73,1,2,5,0,0,?
81,9,4,20,0,1,?
42,0,0,0,0,0,?
124,9,6,0,0,0,?
30,0,0,0,0,0,?
48,0,3,0,0,0,?
137,11,8,21,0,4,?
395,37,38,57,0,7,?
54,2,3,3,0,1,?
21,0,0,0,0,0,?
224,21,23,28,0,0,?
20,0,0,0,0,0,?
62,3,3,8,0,0,?
105,7,5,10,0,1,?
53,0,3,6,0,0,?
37,0,2,1,0,0,?
103,3,6,8,0,0,?
64,2,3,3,0,0,?
132,7,6,18,0,0,?
73,2,3,3,0,0,?
93,3,6,9,0,1,?
96,3,6,9,0,1,?
317,6,27,35,0,2,?
46,0,1,0,0,0,?
91,4,5,9,0,1,?
79,4,5,8,0,0,?
34,0,1,0,0,0,?
39,1,1,3,0,1,?
56,3,3,8,0,0,?
67,0,4,0,0,0,?
64,2,4,7,0,0,?
126,4,9,30,0,3,?
128,5,7,16,0,6,?
106,7,6,18,1,2,?
20,0,0,0,0,0,?
57,4,3,6,0,0,?
40,0,1,0,0,0,?
67,0,4,0,0,0,?
93,9,5,10,0,1,?
43,0,0,0,0,0,?
126,6,7,4,0,2,?
49,2,2,5,0,0,?
20,0,0,0,0,0,?
59,1,4,10,0,0,?
50,3,2,4,0,0,?
73,2,5,15,0,1,?
136,5,11,12,0,3,?
34,0,1,0,0,0,?
58,3,2,4,0,0,?
175,6,11,17,0,4,?
41,1,2,1,0,0,?
20,0,0,0,0,0,?
